,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Merwans Cake shop,19.119300215885474,72.84541776016009,Bakery
1,Jaffer Bhai's Delhi Darbar,19.137714056593047,72.84590930883026,Mughlai Restaurant
2,Hard Rock Cafe Andheri,19.13599450781993,72.8353350383582,American Restaurant
3,Joey's Pizza,19.126762155150107,72.83000121236746,Pizza Place
4,Narayan Sandwich,19.121397691078766,72.85027035501028,Sandwich Place
5,Pizza Express,19.131893498780688,72.83466849836763,Pizza Place
6,Mainland China,19.14039064038241,72.8380325219362,Chinese Restaurant
7,Indigo Delicatessen,19.1364504468811,72.82756504045669,Mediterranean Restaurant
8,Bistro 1 Cafe,19.136656435439225,72.82913638330596,Café
9,Shawarma Factory,19.124590572173467,72.8403981304492,Falafel Restaurant
10,"5 Spice , Bandra",19.130421080343595,72.84720633881638,Chinese Restaurant
11,Dakshinayan,19.112771842540127,72.82565306659686,Indian Restaurant
12,Alfredos Bar & Diner,19.139471751527417,72.8315149191101,Diner
13,015's Café,19.1342081469728,72.82610027343061,Comfort Food Restaurant
14,Barbeque Nation,19.136210861270595,72.83345280721782,BBQ Joint
15,Eden Bakery,19.142848081704912,72.82476443571024,Bakery
16,Prithvi Cafe,19.106153210060764,72.82586610755753,Café
17,The Calcutta Club,19.148738212949493,72.83143562237763,Bengali Restaurant
18,Fareed Seekh Kebab,19.14333600769705,72.83794296972663,Indian Restaurant
19,Pratap's The Dhaba,19.14887624830474,72.83209746279675,Indian Restaurant
20,Tanjore Tiffin Room,19.128438,72.81715,South Indian Restaurant
21,Shree Gangour Sweets,19.115077614539207,72.83436582858621,Indian Restaurant
22,Mainland China,19.141313950168616,72.83256234609917,Chinese Restaurant
23,Le15 Patisserie,19.15251493490186,72.83092221126502,Bakery
24,Mad Over Donuts,19.14264386893489,72.82476738600698,Donut Shop
25,Mahesh Lunch Home,19.10367993652122,72.82679442182634,Seafood Restaurant
26,B'wiched,19.111256543078373,72.82661517207845,American Restaurant
27,Radha Krishna Veg Restaurant,19.115130144160013,72.84305962889206,Indian Restaurant
28,Anand Dosa,19.102981786665428,72.83686050799356,Breakfast Spot
29,Gulati Sweets and Snacks,19.123231,72.864335,Indian Restaurant
30,KFC,19.13526761679155,72.83293660965955,Fast Food Restaurant
31,Khau galli,19.10038667062046,72.84267717056767,Food Truck
32,The Chocolate Heaven,19.104219376484483,72.83675861374584,Café
33,China Gate,19.140098188844455,72.83153912383088,Chinese Restaurant
34,Tirupati Dosa Center,19.12826918546156,72.81685418152304,Indian Restaurant
35,Lotus Café,19.101771937861287,72.82566422851737,Indian Restaurant
36,Sammy Sosa,19.151204813237435,72.83175228577498,Mexican Restaurant
37,Nandu Dosa,19.1165819791634,72.82704994833412,Diner
38,Jam Jar Diner,19.132830122875927,72.81226821651121,Diner
39,Gajalee,19.10382741461241,72.83102812899264,Seafood Restaurant
40,The Good Food Co.,19.098453349622396,72.84576866155109,Café
41,Arola @ JW Marriott,19.101647327380633,72.8254768604747,Spanish Restaurant
42,Gajalee,19.10369200713705,72.85167550882265,Seafood Restaurant
43,Babu Cha Vada,19.1033126238013,72.84857615037404,Snack Place
44,Shabri Veg Restaurant,19.13615756813534,72.8271702616078,Indian Restaurant
45,Peshawari,19.10395400387377,72.86987902868673,Indian Restaurant
46,Indigo Deli,19.13642952061536,72.82755288854011,Italian Restaurant
47,Tiwari Bros. Mithaiwala,19.115056269910802,72.8344956058685,Indian Restaurant
48,Carter's Blue,19.139599362001828,72.83160179473985,Indian Restaurant
49,"Peshawri Restaurant, Itc, Mumbai",19.10928336415873,72.8698912957299,Indian Restaurant
50,Jacky Bhel Puri,19.11363278970635,72.83470196944536,Indian Restaurant
51,Me Marathi,19.102417701434753,72.84654118690055,Maharashtrian Restaurant
52,Di Bella,19.125454233244547,72.8223460003714,Café
53,Subway,19.14125035277429,72.83141864411192,Deli / Bodega
54,Olio,19.108843595181746,72.82392931219455,Italian Restaurant
55,Barrio,19.136511404003564,72.81014070132593,Restaurant
56,Quesso Risorante,19.14877199833972,72.83138134685903,Italian Restaurant
57,Maharaja Restaurant,19.116154809545993,72.85581626501495,Indian Restaurant
58,Guru Da Dhaba,19.141420469632642,72.8251707630685,Vegetarian / Vegan Restaurant
59,Lemon Leaf,19.139779387111414,72.82936873216538,Asian Restaurant
60,Delicacy of China,19.142327952964017,72.82932573085064,Chinese Restaurant
61,Mad Over Donuts,19.125533442429646,72.82228098165848,Donut Shop
62,The Coffee Bean & Tea Leaf,19.11062745905693,72.82528211526264,Café
63,Urban Tadka,19.12701051542414,72.82183256427811,Indian Restaurant
64,Debonairs Pizza,19.12555705959572,72.82244078771572,Pizza Place
65,Glass House @ Hyatt Hotel,19.10368684595821,72.87161592088513,Restaurant
66,The House,19.13101420194339,72.8139107478365,Café
67,Gajalee Coastal Food Annexure,19.117567194128657,72.86748485224203,Seafood Restaurant
68,Shanghai,19.104778659219615,72.84852180117035,Chinese Restaurant
69,Lucky Sandwich,19.10027443707427,72.8425053618019,Sandwich Place
70,Bru World Cafe,19.15104866766351,72.83570650463186,Café
71,Basil The Italian Cafe,19.109424253865374,72.85322394388633,Café
72,Banana Leaf,19.12515498243111,72.82258041206991,Vegetarian / Vegan Restaurant
73,Facing East,19.110120035881774,72.82745431250346,Chinese Restaurant
74,Chilly & Onion restaurant,19.131109687937652,72.86912325869923,Asian Restaurant
75,Bombay Baking Company,19.101835704267714,72.82592211594061,Bakery
76,Yogos Frozen Yogurt Cafe,19.1464995536633,72.82353376496837,Café
77,Citrus Café,19.10914485064099,72.8741480606626,Indian Restaurant
78,King chilly,19.11065238563932,72.85296431874953,Chinese Restaurant
79,Leaping Windows Cafe,19.13877514639195,72.81348180517033,Café
80,Maroosh,19.15137046934379,72.83157736657749,Middle Eastern Restaurant
81,Pan Asian,19.104424065333735,72.86975055081648,Asian Restaurant
82,Vasu Sandwitch,19.157016613722135,72.84606972745243,Sandwich Place
83,Harish: Restaurant & Bar,19.10851908963802,72.8403827444371,Seafood Restaurant
84,noodle bar,19.110671412524386,72.82543094240283,Asian Restaurant
85,Sapre,19.16662147339827,72.84754674423122,Fast Food Restaurant
86,Scrumptious Eatery,19.13585886015648,72.80965332858649,Bakery
87,Le Cirque Signature,19.1099863404606,72.87355461310726,Italian Restaurant
88,Barista,19.150038534503114,72.83136830617241,Café
89,Shri Datta Snacks,19.16393172436743,72.85267324647458,Snack Place
90,The Spare Kitchen,19.10706452945956,72.82585664739476,Restaurant
91,Chaayos,19.133940586140568,72.81127052237414,Café
92,Samvene,19.10805406995919,72.87957777599273,Bagel Shop
93,Kebab Corner,19.124841814096456,72.86466369553679,Indian Restaurant
94,Satkar Rice Plate,19.165100568761734,72.85071422259983,Seafood Restaurant
95,Blue Tokai Coffee Roasters,19.132763,72.81233,Café
96,Khasiyat,19.100524805839562,72.83963009322807,Indian Restaurant
97,Kali Bhaji,19.102823026856715,72.83960190380834,Indian Restaurant
98,Burger King,19.107589968755946,72.88284726769875,Fast Food Restaurant
99,Sai Veg World,19.164900980273732,72.85040601689971,Indian Restaurant
117,J W Cafe,19.103211778505766,72.87750391468353,Restaurant
122,Stax,19.103658594428307,72.87161375246681,Italian Restaurant
129,Hit & Run,19.107787469190956,72.86333266520172,Falafel Restaurant
132,Baluchi,19.10554010860746,72.87528529491198,Indian Restaurant
136,Pizza Express,19.107447757123097,72.88345355722812,Italian Restaurant
138,Faaso's,19.113938442040993,72.86232968704125,Fast Food Restaurant
139,5 Spice,19.10639930536456,72.8845090094163,Chinese Restaurant
143,Summer Harvest,19.096881619639312,72.85035985331969,Indian Restaurant
145,Amreli,19.096166320277817,72.87467378875775,Fast Food Restaurant
146,Shiv Sagar,19.09837282774542,72.84621970281538,Indian Restaurant
147,Global Fusion,19.108244004465607,72.88317819041956,Restaurant
149,LOVE SUGAR DOUGH,19.097939226275706,72.84587506558769,Bakery
150,China Gate,19.11859711445652,72.86988816192876,Asian Restaurant
151,Ram Krishna Hotel,19.09870165534156,72.84452835911915,Indian Restaurant
152,Bisleri Chaatwala,19.110538098443268,72.85406051188238,Food Truck
157,Great Wall,19.109154003104717,72.87415004470053,Chinese Restaurant
159,Sun Moon & Potatoes,19.12409661222563,72.86988272955683,Italian Restaurant
