,0,1,2
0,"[18.94959357, 72.83815173]",[1.43512874],"[[8, 6.041902327500108, 390899.0]]"
1,"[18.95702047, 72.84200447]",[0.92846526],"[[10, 6.981863370000257, 411563.39999999997]]"
2,"[18.94638502, 72.8252676]",[1.53928448],"[[7, 5.226284039999923, 364729.8571428571]]"
3,"[18.9584585, 72.81496344]",[0.91180899],"[[7, 5.111687640000405, 339027.1428571428]]"
4,"[18.96943916, 72.82582256]",[0.83736094],"[[9, 5.815723639999844, 359455.1111111111]]"
5,"[19.0008, 72.83085]",[0.86314471],"[[11, 6.558477886363843, 388562.36363636365]]"
6,"[19.028744, 72.8441474]",[0.78147889],"[[15, 7.883515259999695, 470291.6666666667]]"
7,"[19.0166742, 72.8166592]",[1.02831634],"[[11, 7.489290788181755, 382943.36363636365]]"
8,"[19.0562937, 72.8430763]",[0.84985955],"[[14, 7.4376658414282195, 489203.28571428574]]"
9,"[19.0610225, 72.847717]",[0.84770356],"[[13, 7.126784799230636, 528744.9999999999]]"
10,"[19.05524, 72.830818]",[0.77342929],"[[12, 7.23815053000036, 537063.6666666666]]"
11,"[19.11810195, 72.86016765]",[0.80934635],"[[11, 7.813854081818004, 592445.7272727273]]"
12,"[19.115059, 72.84893545]",[0.82902581],"[[11, 7.412298665454331, 611979.3636363635]]"
13,"[19.08109075, 72.87640255]",[0.72761818],"[[10, 6.785594612999857, 568161.3]]"
14,"[19.14278835, 72.877626]",[0.70407527],"[[11, 8.702905554545886, 622573.7272727273]]"
15,"[19.04412887, 72.8988166]",[0.64960114],"[[8, 8.565851407500453, 534557.625]]"
16,"[19.0809876, 72.8836623]",[0.78233531],"[[10, 7.321371632999806, 584027.5]]"
17,"[19.15511603, 72.84636863]",[0.76865177],"[[10, 8.45980084199976, 664589.6]]"
18,"[19.1958408, 72.82330518]",[0.73347494],"[[5, 8.580417659999597, 583269.4]]"
19,"[19.20613995, 72.84434775]",[0.67046958],"[[6, 7.895637570000298, 655539.8333333334]]"
20,"[19.230101, 72.866635]",[0.71606384],"[[5, 9.389363682000514, 572638.4]]"
21,"[19.3344948, 72.8654778]",[-2.1897415],"[[1, 11.716161000001005, 513078.0]]"
22,"[19.1373666, 72.9442834]",[0.97789291],"[[3, 8.055100910000348, 605016.6666666667]]"
23,"[19.17521782, 72.94867806]",[-1.59853244],"[[2, 8.087871255000154, 683039.5]]"
24,"[18.99304585666667, 72.83771637666666]",[0.95290249],"[[12, 6.1553897141668505, 389192.4166666667]]"
25,"[19.00222909, 72.83735934333333]",[0.97911291],"[[12, 6.01193806250019, 389192.4166666667]]"
26,"[19.003805356666668, 72.83890624333333]",[0.97628294],"[[12, 6.025896559166601, 389192.4166666667]]"
27,"[18.99833725666667, 72.83298611]",[0.97009176],"[[12, 6.057498814166835, 389192.4166666667]]"
28,"[19.011192523333335, 72.83770571]",[0.89435281],"[[13, 6.47671608846171, 419117.53846153844]]"
29,"[19.00752049, 72.83262907666666]",[0.97911291],"[[12, 6.01193806250019, 389192.4166666667]]"
30,"[19.00909675666667, 72.83417597666666]",[0.97911291],"[[12, 6.01193806250019, 389192.4166666667]]"
31,"[19.007169256666668, 72.82854297666667]",[0.96283859],"[[12, 6.096705925833317, 389192.4166666667]]"
32,"[19.02195202333333, 72.83889557666667]",[0.86947507],"[[15, 7.145273055999953, 451251.0666666667]]"
33,"[18.99552149, 72.83900062333333]",[0.95785755],"[[12, 6.125295024166738, 389192.4166666667]]"
34,"[19.004704723333333, 72.83864359]",[0.97726153],"[[12, 6.02103747250013, 389192.4166666667]]"
35,"[19.00628099, 72.84019049]",[0.8870006],"[[13, 6.532252576153843, 419117.53846153844]]"
36,"[19.000812890000002, 72.83427035666666]",[0.97911291],"[[12, 6.01193806250019, 389192.4166666667]]"
37,"[19.009996123333334, 72.83391332333333]",[0.97911291],"[[12, 6.01193806250019, 389192.4166666667]]"
38,"[19.01157239, 72.83546022333333]",[0.89212661],"[[13, 6.492645613077096, 419117.53846153844]]"
39,"[19.00964489, 72.82982722333334]",[0.97169038],"[[12, 6.049188799166484, 389192.4166666667]]"
40,"[19.024427656666663, 72.84017982333333]",[0.87444499],"[[15, 7.117449944000027, 451251.0666666667]]"
41,"[18.997267739999998, 72.82869140000001]",[0.93526532],"[[11, 5.535750021817892, 386933.4545454546]]"
42,"[19.010123006666664, 72.833411]",[0.97911291],"[[12, 6.01193806250019, 389192.4166666667]]"
43,"[19.006450973333333, 72.82833436666668]",[0.96146786],"[[12, 6.104424495832842, 389192.4166666667]]"
44,"[19.00609974, 72.82424826666667]",[0.93303699],"[[12, 6.303592289166507, 389192.4166666667]]"
45,"[19.014147499999996, 72.82997628]",[0.97276298],"[[12, 6.043673702500155, 389192.4166666667]]"
46,"[19.00495245333333, 72.82887638666666]",[0.96506871],"[[12, 6.084369755833461, 389192.4166666667]]"
47,"[19.017807719999997, 72.83359598666667]",[0.88190933],"[[14, 6.904886825714405, 439229.2142857143]]"
48,"[19.014135686666666, 72.82851935333333]",[0.96268241],"[[12, 6.097579989166673, 389192.4166666667]]"
