,0,1,2
0,[0 'Merwans Cake shop' 19.119300215885477 72.84541776016009 'Bakery'],"[12, 6.890287289800935, 619371.1666666666]","[array(['F North', 'Matunga', 13, '1,12,765', '5,24,393', '40,338',
       'F North', 400019, 19.028744, 72.8441474, True], dtype=object), array(['G North', 'Dadar/Plaza', 9, '1,20,643', '5,82,007', '63,957',
       'G North', 400028, 19.0562937, 72.8430763, True], dtype=object), array(['H East', 'Khar/Santacruz', 14, '1,14,423', '5,80,835', '43,025',
       'H East', 400051, 19.0610225, 72.847717, True], dtype=object), array(['H West', 'Bandra', 12, '73,874', '3,37,391', '29,085', 'H West',
       400050, 19.05524, 72.830818, True], dtype=object), array(['K East', 'Andheri (East)', 25, '1,75,859', '8,10,002', '32,661',
       'K East', 400069, 19.11810195, 72.86016765, True], dtype=object), array(['K West', 'Andheri (West)', 23, '1,49,161', '7,00,680', '29,944',
       'K West', 400058, 19.115059, 72.84893545, True], dtype=object), array(['L', 'Kurla', 16, '1,51,964', '7,78,218', '48,945', 'L', 400070,
       19.08109075, 72.87640255, True], dtype=object), array(['M East', 'Chembur East', 33, '1,33,416', '6,74,850', '20,765',
       'M East', 400043, 19.14278835, 72.877626, True], dtype=object), array(['N', 'Ghatkopar', 26, '1,29,228', '6,19,556', '23,829', 'N',
       400077, 19.0809876, 72.8836623, True], dtype=object), array(['P South', 'Goregaon', 24, '95,188', '4,37,849', '17,945',
       'P South', 400062, 19.15511603, 72.84636863, True], dtype=object), array(['P North', 'Malad', 19, '1,71,009', '7,96,775', '41,716',
       'P North', 400064, 19.1958408, 72.82330518, True], dtype=object), array(['R South', 'Kandivalli', 18, '1,28,995', '5,89,886', '33,140',
       'R South', 400067, 19.20613995, 72.84434775, True], dtype=object)]"
1,"[1 ""Jaffer Bhai's Delhi Darbar"" 19.137714056593047 72.84590930883026
 'Mughlai Restaurant']","[13, 7.823704672974213, 624898.6153846154]","[array(['F North', 'Matunga', 13, '1,12,765', '5,24,393', '40,338',
       'F North', 400019, 19.028744, 72.8441474, True], dtype=object), array(['G North', 'Dadar/Plaza', 9, '1,20,643', '5,82,007', '63,957',
       'G North', 400028, 19.0562937, 72.8430763, True], dtype=object), array(['H East', 'Khar/Santacruz', 14, '1,14,423', '5,80,835', '43,025',
       'H East', 400051, 19.0610225, 72.847717, True], dtype=object), array(['H West', 'Bandra', 12, '73,874', '3,37,391', '29,085', 'H West',
       400050, 19.05524, 72.830818, True], dtype=object), array(['K East', 'Andheri (East)', 25, '1,75,859', '8,10,002', '32,661',
       'K East', 400069, 19.11810195, 72.86016765, True], dtype=object), array(['K West', 'Andheri (West)', 23, '1,49,161', '7,00,680', '29,944',
       'K West', 400058, 19.115059, 72.84893545, True], dtype=object), array(['L', 'Kurla', 16, '1,51,964', '7,78,218', '48,945', 'L', 400070,
       19.08109075, 72.87640255, True], dtype=object), array(['M East', 'Chembur East', 33, '1,33,416', '6,74,850', '20,765',
       'M East', 400043, 19.14278835, 72.877626, True], dtype=object), array(['N', 'Ghatkopar', 26, '1,29,228', '6,19,556', '23,829', 'N',
       400077, 19.0809876, 72.8836623, True], dtype=object), array(['P South', 'Goregaon', 24, '95,188', '4,37,849', '17,945',
       'P South', 400062, 19.15511603, 72.84636863, True], dtype=object), array(['P North', 'Malad', 19, '1,71,009', '7,96,775', '41,716',
       'P North', 400064, 19.1958408, 72.82330518, True], dtype=object), array(['R South', 'Kandivalli', 18, '1,28,995', '5,89,886', '33,140',
       'R South', 400067, 19.20613995, 72.84434775, True], dtype=object), array(['S', 'Bhandup', 64, '1,48,731', '6,91,227', '10,800', 'S', 400078,
       19.1373666, 72.9442834, True], dtype=object)]"
2,"[2 'Hard Rock Cafe Andheri' 19.13599450781993 72.8353350383582
 'American Restaurant']","[12, 8.11436629616224, 633274.0]","[array(['G North', 'Dadar/Plaza', 9, '1,20,643', '5,82,007', '63,957',
       'G North', 400028, 19.0562937, 72.8430763, True], dtype=object), array(['H East', 'Khar/Santacruz', 14, '1,14,423', '5,80,835', '43,025',
       'H East', 400051, 19.0610225, 72.847717, True], dtype=object), array(['H West', 'Bandra', 12, '73,874', '3,37,391', '29,085', 'H West',
       400050, 19.05524, 72.830818, True], dtype=object), array(['K East', 'Andheri (East)', 25, '1,75,859', '8,10,002', '32,661',
       'K East', 400069, 19.11810195, 72.86016765, True], dtype=object), array(['K West', 'Andheri (West)', 23, '1,49,161', '7,00,680', '29,944',
       'K West', 400058, 19.115059, 72.84893545, True], dtype=object), array(['L', 'Kurla', 16, '1,51,964', '7,78,218', '48,945', 'L', 400070,
       19.08109075, 72.87640255, True], dtype=object), array(['M East', 'Chembur East', 33, '1,33,416', '6,74,850', '20,765',
       'M East', 400043, 19.14278835, 72.877626, True], dtype=object), array(['N', 'Ghatkopar', 26, '1,29,228', '6,19,556', '23,829', 'N',
       400077, 19.0809876, 72.8836623, True], dtype=object), array(['P South', 'Goregaon', 24, '95,188', '4,37,849', '17,945',
       'P South', 400062, 19.15511603, 72.84636863, True], dtype=object), array(['P North', 'Malad', 19, '1,71,009', '7,96,775', '41,716',
       'P North', 400064, 19.1958408, 72.82330518, True], dtype=object), array(['R South', 'Kandivalli', 18, '1,28,995', '5,89,886', '33,140',
       'R South', 400067, 19.20613995, 72.84434775, True], dtype=object), array(['S', 'Bhandup', 64, '1,48,731', '6,91,227', '10,800', 'S', 400078,
       19.1373666, 72.9442834, True], dtype=object)]"
3,"[3 ""Joey's Pizza"" 19.126762155150107 72.83000121236746 'Pizza Place']","[12, 8.235700286563425, 619371.1666666666]","[array(['F North', 'Matunga', 13, '1,12,765', '5,24,393', '40,338',
       'F North', 400019, 19.028744, 72.8441474, True], dtype=object), array(['G North', 'Dadar/Plaza', 9, '1,20,643', '5,82,007', '63,957',
       'G North', 400028, 19.0562937, 72.8430763, True], dtype=object), array(['H East', 'Khar/Santacruz', 14, '1,14,423', '5,80,835', '43,025',
       'H East', 400051, 19.0610225, 72.847717, True], dtype=object), array(['H West', 'Bandra', 12, '73,874', '3,37,391', '29,085', 'H West',
       400050, 19.05524, 72.830818, True], dtype=object), array(['K East', 'Andheri (East)', 25, '1,75,859', '8,10,002', '32,661',
       'K East', 400069, 19.11810195, 72.86016765, True], dtype=object), array(['K West', 'Andheri (West)', 23, '1,49,161', '7,00,680', '29,944',
       'K West', 400058, 19.115059, 72.84893545, True], dtype=object), array(['L', 'Kurla', 16, '1,51,964', '7,78,218', '48,945', 'L', 400070,
       19.08109075, 72.87640255, True], dtype=object), array(['M East', 'Chembur East', 33, '1,33,416', '6,74,850', '20,765',
       'M East', 400043, 19.14278835, 72.877626, True], dtype=object), array(['N', 'Ghatkopar', 26, '1,29,228', '6,19,556', '23,829', 'N',
       400077, 19.0809876, 72.8836623, True], dtype=object), array(['P South', 'Goregaon', 24, '95,188', '4,37,849', '17,945',
       'P South', 400062, 19.15511603, 72.84636863, True], dtype=object), array(['P North', 'Malad', 19, '1,71,009', '7,96,775', '41,716',
       'P North', 400064, 19.1958408, 72.82330518, True], dtype=object), array(['R South', 'Kandivalli', 18, '1,28,995', '5,89,886', '33,140',
       'R South', 400067, 19.20613995, 72.84434775, True], dtype=object)]"
4,[4 'Narayan Sandwich' 19.12139769107877 72.85027035501028 'Sandwich Place'],"[13, 7.421140305204036, 624898.6153846154]","[array(['F North', 'Matunga', 13, '1,12,765', '5,24,393', '40,338',
       'F North', 400019, 19.028744, 72.8441474, True], dtype=object), array(['G North', 'Dadar/Plaza', 9, '1,20,643', '5,82,007', '63,957',
       'G North', 400028, 19.0562937, 72.8430763, True], dtype=object), array(['H East', 'Khar/Santacruz', 14, '1,14,423', '5,80,835', '43,025',
       'H East', 400051, 19.0610225, 72.847717, True], dtype=object), array(['H West', 'Bandra', 12, '73,874', '3,37,391', '29,085', 'H West',
       400050, 19.05524, 72.830818, True], dtype=object), array(['K East', 'Andheri (East)', 25, '1,75,859', '8,10,002', '32,661',
       'K East', 400069, 19.11810195, 72.86016765, True], dtype=object), array(['K West', 'Andheri (West)', 23, '1,49,161', '7,00,680', '29,944',
       'K West', 400058, 19.115059, 72.84893545, True], dtype=object), array(['L', 'Kurla', 16, '1,51,964', '7,78,218', '48,945', 'L', 400070,
       19.08109075, 72.87640255, True], dtype=object), array(['M East', 'Chembur East', 33, '1,33,416', '6,74,850', '20,765',
       'M East', 400043, 19.14278835, 72.877626, True], dtype=object), array(['N', 'Ghatkopar', 26, '1,29,228', '6,19,556', '23,829', 'N',
       400077, 19.0809876, 72.8836623, True], dtype=object), array(['P South', 'Goregaon', 24, '95,188', '4,37,849', '17,945',
       'P South', 400062, 19.15511603, 72.84636863, True], dtype=object), array(['P North', 'Malad', 19, '1,71,009', '7,96,775', '41,716',
       'P North', 400064, 19.1958408, 72.82330518, True], dtype=object), array(['R South', 'Kandivalli', 18, '1,28,995', '5,89,886', '33,140',
       'R South', 400067, 19.20613995, 72.84434775, True], dtype=object), array(['S', 'Bhandup', 64, '1,48,731', '6,91,227', '10,800', 'S', 400078,
       19.1373666, 72.9442834, True], dtype=object)]"
5,[5 'Pizza Express' 19.131893498780688 72.83466849836763 'Pizza Place'],"[11, 7.66173552202881, 628005.4545454545]","[array(['G North', 'Dadar/Plaza', 9, '1,20,643', '5,82,007', '63,957',
       'G North', 400028, 19.0562937, 72.8430763, True], dtype=object), array(['H East', 'Khar/Santacruz', 14, '1,14,423', '5,80,835', '43,025',
       'H East', 400051, 19.0610225, 72.847717, True], dtype=object), array(['H West', 'Bandra', 12, '73,874', '3,37,391', '29,085', 'H West',
       400050, 19.05524, 72.830818, True], dtype=object), array(['K East', 'Andheri (East)', 25, '1,75,859', '8,10,002', '32,661',
       'K East', 400069, 19.11810195, 72.86016765, True], dtype=object), array(['K West', 'Andheri (West)', 23, '1,49,161', '7,00,680', '29,944',
       'K West', 400058, 19.115059, 72.84893545, True], dtype=object), array(['L', 'Kurla', 16, '1,51,964', '7,78,218', '48,945', 'L', 400070,
       19.08109075, 72.87640255, True], dtype=object), array(['M East', 'Chembur East', 33, '1,33,416', '6,74,850', '20,765',
       'M East', 400043, 19.14278835, 72.877626, True], dtype=object), array(['N', 'Ghatkopar', 26, '1,29,228', '6,19,556', '23,829', 'N',
       400077, 19.0809876, 72.8836623, True], dtype=object), array(['P South', 'Goregaon', 24, '95,188', '4,37,849', '17,945',
       'P South', 400062, 19.15511603, 72.84636863, True], dtype=object), array(['P North', 'Malad', 19, '1,71,009', '7,96,775', '41,716',
       'P North', 400064, 19.1958408, 72.82330518, True], dtype=object), array(['R South', 'Kandivalli', 18, '1,28,995', '5,89,886', '33,140',
       'R South', 400067, 19.20613995, 72.84434775, True], dtype=object)]"
6,"[6 'Mainland China' 19.14039064038241 72.8380325219362
 'Chinese Restaurant']","[12, 8.052025710870426, 633274.0]","[array(['G North', 'Dadar/Plaza', 9, '1,20,643', '5,82,007', '63,957',
       'G North', 400028, 19.0562937, 72.8430763, True], dtype=object), array(['H East', 'Khar/Santacruz', 14, '1,14,423', '5,80,835', '43,025',
       'H East', 400051, 19.0610225, 72.847717, True], dtype=object), array(['H West', 'Bandra', 12, '73,874', '3,37,391', '29,085', 'H West',
       400050, 19.05524, 72.830818, True], dtype=object), array(['K East', 'Andheri (East)', 25, '1,75,859', '8,10,002', '32,661',
       'K East', 400069, 19.11810195, 72.86016765, True], dtype=object), array(['K West', 'Andheri (West)', 23, '1,49,161', '7,00,680', '29,944',
       'K West', 400058, 19.115059, 72.84893545, True], dtype=object), array(['L', 'Kurla', 16, '1,51,964', '7,78,218', '48,945', 'L', 400070,
       19.08109075, 72.87640255, True], dtype=object), array(['M East', 'Chembur East', 33, '1,33,416', '6,74,850', '20,765',
       'M East', 400043, 19.14278835, 72.877626, True], dtype=object), array(['N', 'Ghatkopar', 26, '1,29,228', '6,19,556', '23,829', 'N',
       400077, 19.0809876, 72.8836623, True], dtype=object), array(['P South', 'Goregaon', 24, '95,188', '4,37,849', '17,945',
       'P South', 400062, 19.15511603, 72.84636863, True], dtype=object), array(['P North', 'Malad', 19, '1,71,009', '7,96,775', '41,716',
       'P North', 400064, 19.1958408, 72.82330518, True], dtype=object), array(['R South', 'Kandivalli', 18, '1,28,995', '5,89,886', '33,140',
       'R South', 400067, 19.20613995, 72.84434775, True], dtype=object), array(['S', 'Bhandup', 64, '1,48,731', '6,91,227', '10,800', 'S', 400078,
       19.1373666, 72.9442834, True], dtype=object)]"
7,"[7 'Indigo Delicatessen' 19.1364504468811 72.82756504045669
 'Mediterranean Restaurant']","[11, 8.36709984319732, 628005.4545454545]","[array(['G North', 'Dadar/Plaza', 9, '1,20,643', '5,82,007', '63,957',
       'G North', 400028, 19.0562937, 72.8430763, True], dtype=object), array(['H East', 'Khar/Santacruz', 14, '1,14,423', '5,80,835', '43,025',
       'H East', 400051, 19.0610225, 72.847717, True], dtype=object), array(['H West', 'Bandra', 12, '73,874', '3,37,391', '29,085', 'H West',
       400050, 19.05524, 72.830818, True], dtype=object), array(['K East', 'Andheri (East)', 25, '1,75,859', '8,10,002', '32,661',
       'K East', 400069, 19.11810195, 72.86016765, True], dtype=object), array(['K West', 'Andheri (West)', 23, '1,49,161', '7,00,680', '29,944',
       'K West', 400058, 19.115059, 72.84893545, True], dtype=object), array(['L', 'Kurla', 16, '1,51,964', '7,78,218', '48,945', 'L', 400070,
       19.08109075, 72.87640255, True], dtype=object), array(['M East', 'Chembur East', 33, '1,33,416', '6,74,850', '20,765',
       'M East', 400043, 19.14278835, 72.877626, True], dtype=object), array(['N', 'Ghatkopar', 26, '1,29,228', '6,19,556', '23,829', 'N',
       400077, 19.0809876, 72.8836623, True], dtype=object), array(['P South', 'Goregaon', 24, '95,188', '4,37,849', '17,945',
       'P South', 400062, 19.15511603, 72.84636863, True], dtype=object), array(['P North', 'Malad', 19, '1,71,009', '7,96,775', '41,716',
       'P North', 400064, 19.1958408, 72.82330518, True], dtype=object), array(['R South', 'Kandivalli', 18, '1,28,995', '5,89,886', '33,140',
       'R South', 400067, 19.20613995, 72.84434775, True], dtype=object)]"
8,[8 'Bistro 1 Cafe' 19.136656435439225 72.82913638330596 'Café'],"[11, 8.23062917805464, 628005.4545454545]","[array(['G North', 'Dadar/Plaza', 9, '1,20,643', '5,82,007', '63,957',
       'G North', 400028, 19.0562937, 72.8430763, True], dtype=object), array(['H East', 'Khar/Santacruz', 14, '1,14,423', '5,80,835', '43,025',
       'H East', 400051, 19.0610225, 72.847717, True], dtype=object), array(['H West', 'Bandra', 12, '73,874', '3,37,391', '29,085', 'H West',
       400050, 19.05524, 72.830818, True], dtype=object), array(['K East', 'Andheri (East)', 25, '1,75,859', '8,10,002', '32,661',
       'K East', 400069, 19.11810195, 72.86016765, True], dtype=object), array(['K West', 'Andheri (West)', 23, '1,49,161', '7,00,680', '29,944',
       'K West', 400058, 19.115059, 72.84893545, True], dtype=object), array(['L', 'Kurla', 16, '1,51,964', '7,78,218', '48,945', 'L', 400070,
       19.08109075, 72.87640255, True], dtype=object), array(['M East', 'Chembur East', 33, '1,33,416', '6,74,850', '20,765',
       'M East', 400043, 19.14278835, 72.877626, True], dtype=object), array(['N', 'Ghatkopar', 26, '1,29,228', '6,19,556', '23,829', 'N',
       400077, 19.0809876, 72.8836623, True], dtype=object), array(['P South', 'Goregaon', 24, '95,188', '4,37,849', '17,945',
       'P South', 400062, 19.15511603, 72.84636863, True], dtype=object), array(['P North', 'Malad', 19, '1,71,009', '7,96,775', '41,716',
       'P North', 400064, 19.1958408, 72.82330518, True], dtype=object), array(['R South', 'Kandivalli', 18, '1,28,995', '5,89,886', '33,140',
       'R South', 400067, 19.20613995, 72.84434775, True], dtype=object)]"
9,"[9 'Shawarma Factory' 19.124590572173467 72.8403981304492
 'Falafel Restaurant']","[12, 7.370869207177273, 619371.1666666666]","[array(['F North', 'Matunga', 13, '1,12,765', '5,24,393', '40,338',
       'F North', 400019, 19.028744, 72.8441474, True], dtype=object), array(['G North', 'Dadar/Plaza', 9, '1,20,643', '5,82,007', '63,957',
       'G North', 400028, 19.0562937, 72.8430763, True], dtype=object), array(['H East', 'Khar/Santacruz', 14, '1,14,423', '5,80,835', '43,025',
       'H East', 400051, 19.0610225, 72.847717, True], dtype=object), array(['H West', 'Bandra', 12, '73,874', '3,37,391', '29,085', 'H West',
       400050, 19.05524, 72.830818, True], dtype=object), array(['K East', 'Andheri (East)', 25, '1,75,859', '8,10,002', '32,661',
       'K East', 400069, 19.11810195, 72.86016765, True], dtype=object), array(['K West', 'Andheri (West)', 23, '1,49,161', '7,00,680', '29,944',
       'K West', 400058, 19.115059, 72.84893545, True], dtype=object), array(['L', 'Kurla', 16, '1,51,964', '7,78,218', '48,945', 'L', 400070,
       19.08109075, 72.87640255, True], dtype=object), array(['M East', 'Chembur East', 33, '1,33,416', '6,74,850', '20,765',
       'M East', 400043, 19.14278835, 72.877626, True], dtype=object), array(['N', 'Ghatkopar', 26, '1,29,228', '6,19,556', '23,829', 'N',
       400077, 19.0809876, 72.8836623, True], dtype=object), array(['P South', 'Goregaon', 24, '95,188', '4,37,849', '17,945',
       'P South', 400062, 19.15511603, 72.84636863, True], dtype=object), array(['P North', 'Malad', 19, '1,71,009', '7,96,775', '41,716',
       'P North', 400064, 19.1958408, 72.82330518, True], dtype=object), array(['R South', 'Kandivalli', 18, '1,28,995', '5,89,886', '33,140',
       'R South', 400067, 19.20613995, 72.84434775, True], dtype=object)]"
