,AreaName,PinCode,Lat,Long
0,A I Staff Colony,400029,19.0787,72.86005
1,Aareymilk Colony,400065,19.148509,72.88174
2,Agripada,400011,18.98481,72.81686
3,Airport,400099,19.0900516,72.8686722
4,Ambewadi,400004,18.96301,72.82304
5,Andheri,400053,19.1155251,72.8352615
6,Andheri East,400069,19.113657,72.8697219
7,Andheri Railway Station,400058,19.113668,72.8697109
8,Antop Hill,400037,19.02223,72.866554
9,Anushakti Nagar,400094,19.0350168,72.925371
10,Asvini,400005,18.8952,72.80879
11,Azad Nagar,400053,19.129,72.8268
12,B P T Colony,400037,19.02595,72.8664
13,B.N. Bhavan,400051,19.06295,72.85335
14,B.P.Lane,400003,18.9582222,72.8131886
15,Bandra East,400051,19.05524,72.830818
16,Bandra West,400050,19.05524,72.830818
17,Bangur Nagar,400104,19.16251,72.80132
18,Bangur Nagar,400090,19.16251,72.80132
19,BARC,400085,19.0222121,72.9268586
20,Barve Nagar,400084,19.1039,72.91005
21,Bazargate,400001,18.9365423,72.8357711
22,Best Staff Colony,400075,19.07555,72.91335
23,BEST STaff Quarters,400012,19.0008,72.83085
24,Bhandup Complex,400082,19.149916,72.931119
25,Bhandup East,400042,19.149913,72.931122
26,Bhandup Ind. Estate,400078,19.14992,72.931115
27,Bhandup West,400078,19.149913,72.931122
28,Bharat Nagar,400007,18.95635,72.81542
29,Bhawani Shankar,400028,19.02083,72.84066
30,Bhawani Shankar Rd,400028,19.02083,72.84066
31,Borivali,400091,19.2601205,72.8519054
32,Borivali East,400066,19.230101,72.866635
33,Borivali West,400092,19.230101,72.866635
34,C G S Colony,400037,19.02595,72.8664
35,Central Building,400020,18.93739,72.83468
36,Century Mill,400030,19.08185,72.87335
37,Chakala Midc,400093,19.11645,72.87
38,Chamarbaug,400012,19.0008,72.83085
39,Charkop,400067,19.20775,72.8367
40,Charni Road,400004,18.96301,72.82304
41,Chaupati,400004,18.96301,72.82304
42,Cheeta Camp,400088,19.0661,72.95123
43,Chembur,400071,19.0328066,72.8963498
44,Chembur Extension,400071,19.04979,72.90005
45,Chembur Rs,400089,19.0328096,72.8963468
46,Chinchbunder,400009,18.9566814,72.8378734
47,Chinchpokli,400011,18.9833443,72.8333223
48,Chunabhatti,400022,19.0517041,72.8691492
49,Churchgate,400020,18.9322553,72.8264278
50,Colaba,400005,18.9037064,72.8131372
51,Cotton Exchange,400033,18.95355,72.8275
52,Cumballa Hill,400026,18.9705055,72.805744
53,Cumballa Sea Face,400026,18.9705095,72.80574
54,D.M. Colony,400043,19.0661,72.92675
55,Dadar,400014,19.019552,72.8382497
56,Dadar Colony,400014,19.019559,72.8382427
57,Dahisar,400068,19.2499702,72.8593873
58,Dahisar RS,400068,19.4946079,72.8603997
59,Danda,400052,19.0747065,72.825325
60,Daulat Nagar,400066,19.21085,72.91005
61,Delisle Road,400013,19.046,72.85562
62,Dharavi,400017,19.0442264,72.8559718
63,Dharavi Road,400017,19.0442314,72.8559668
64,Dockyard Road,400010,18.9882,72.85482
65,Dr Deshmukh Marg,400026,18.97349,72.82458
66,Falkland Road,400008,18.97349,72.82458
67,FCI,400074,19.218125,72.8575913
68,Ghatkopar West,400086,19.0908203,72.9076529
69,Girgaon,400004,18.9559656,72.819045
70,Gokhale Road,400028,19.2336122,72.8551578
71,Goregaon,400104,19.1486381,72.8810859
72,Goregaon East,400063,19.1542,72.8567
73,Goregaon RS,400104,19.16251,72.80132
74,Govandi,400088,19.0661,72.95123
75,Government Colony,400051,19.06295,72.85335
76,Gowalia Tank,400026,18.9659697,72.8109154
77,Grant Road,400007,18.95635,72.81542
78,H.M.P. School,400058,19.11645,72.82816
79,Haffkin Institute,400012,19.0008,72.83085
80,Haines Road,400011,18.98481,72.81686
81,Hajiali,400034,18.9774542,72.8109204
82,Hanuman Road,400057,19.10075,72.85335
83,High Court Building,400032,18.92938,72.8275
84,Holiday Camp,400005,18.8952,72.80879
85,Ins Hamla,400095,19.20145,72.82665
86,International Airport,400099,19.0976,72.8667
87,IRLA,400056,19.0976,72.84005
88,J.B. Nagar,400059,19.1196,72.8834
89,J.J.Hospital,400008,18.9631542,72.8319003
90,J.M. Road,400078,19.129,72.95306
91,Jacob Circle,400011,18.98481,72.81686
92,Jogeshwari East,400060,19.1405266,72.8421405
93,Jogeshwari West,400102,19.1405266,72.8421405
94,Juhu,400049,19.098825,72.8320677
95,Kalachowki,400033,18.95355,72.8275
96,Kalbadevi,400002,18.9497685,72.8293831
97,Kamathipura,400008,18.9635716,72.8234725
98,Kandivali East,400101,19.2045299,72.8519955
99,Kandivali West,400067,19.2045299,72.8519955
100,Kannamwar Nagar,400083,19.11015,72.94595
101,Kapad Bazar,400016,19.03873,72.84171
102,Ketkipada,400068,19.2589063,72.8766464
103,Khar Colony,400052,19.070737,72.836116
104,Khar Delivery,400052,19.07555,72.83206
105,Kharodi,400095,19.1957402,72.8175678
106,Kherwadi,400051,19.06295,72.85335
107,Kidwai Nagar,400031,19.00821,72.84415
108,Kurla,400070,19.071994,72.884077
109,L B S N E collage,400033,18.95355,72.8275
110,Lal Baug,400012,19.0008,72.83085
111,Liberty Garden,400064,19.21322,72.79667
112,M A Marg,400008,18.97349,72.82458
113,M.P.T.,400001,18.94206,72.83544
114,Madh,400061,19.1416,72.8167
115,Madhavbaug,400004,18.96301,72.82304
116,Magthane,400066,19.2194956,72.8666786
117,Maharashtra Public Service Commission,400203,19.7515168,75.7138514
118,Mahim,400016,19.038443,72.8419859
119,Mahim Bazar,400016,19.038449,72.8419799
120,Mahim East,400016,19.038448,72.8419809
121,Mahul Road,400074,19.0472,72.9444
122,Malabar Hill,400006,18.95458,72.80106
123,Malad,400064,19.1867934,72.8488659
124,Malad East,400097,19.1878488,72.8101787
125,Malad West Dely,400064,19.1878538,72.8101737
126,Mandapeshwar,400103,19.24751,72.8552284
127,Mandvi,400003,18.953821,72.838302
128,Mantralaya,400032,18.9290152,72.8301206
129,Marine Lines,400020,18.93739,72.83468
130,Marol Bazar,400059,19.1196,72.8834
131,Marol Naka,400059,19.1196,72.8834
132,Masjid,400003,18.9506064,72.8382487
133,Matunga,400019,19.0287355,72.8441559
134,Matunga Railway Workshop,400019,19.0287525,72.8441389
135,Mazgaon,400010,18.963305,72.843287
136,Mazgaon Dock,400010,18.96331,72.843282
137,Mazgaon Road,400010,18.96331,72.843282
138,Mg. Road,400086,19.0913,72.91335
139,Mhada Colony,400081,19.0549553,72.8473204
140,Mori Road,400016,19.03873,72.84171
141,Motilal Nagar,400104,19.16251,72.80132
142,Mulund Colony,400082,19.1746869,72.9430908
143,Mulund Dd Road,400080,19.18226,72.9512
144,Mulund East,400081,19.1746849,72.9430928
145,Mulund West,400080,19.1746849,72.9430928
146,Mumbai,400001,18.94206,72.83544
147,Mumbai Central,400008,18.97349,72.82458
148,N . S.Patkar,400007,18.95635,72.81542
149,Nagardas Road,400069,19.1225469,72.8506134
150,Nagari Niwara,400065,19.15105,72.88005
151,Nahur,400080,19.1546242,72.9466975
152,Naigaon,400014,19.0109892,72.8463714
153,Nariman Point,400021,18.92839,72.82235
154,Nehru Nagar,400024,19.18226,72.9512
155,Nehru Road,400080,19.18226,72.9512
156,Netajinagar,400070,19.0901875,72.8687281
157,New Prabhadevi Road,400025,19.0177,72.83001
158,New Yogakshema,400021,18.92839,72.82235
159,Nitie,400087,19.1479,72.8967
160,Noor Baug,400009,18.95719,72.84407
161,Null Bazar,400003,18.9552,72.83482
162,Opera House,400004,18.96301,72.82304
163,Orlem,400064,19.195496,72.8375111
164,Oshiwara,400102,19.1478218,72.8386159
165,P.H. Colony,400078,19.129,72.95306
166,Pant Nagar,400075,19.07555,72.91335
167,Parel,400012,19.0008,72.83085
168,Parel Naka,400012,19.0008,72.83085
169,Parel Rly Work Shop,400012,19.0008,72.83085
170,Powai Iit,400076,19.1196863,72.9050719
171,Prabhadevi,400025,19.0158406,72.8293821
172,Princess Dock,400009,18.95719,72.84407
173,Psm Colony,400079,19.08815,72.93918
174,R.A. Nagar,400075,19.07555,72.91335
175,Railway Recruitment Board,400202,19.01765,72.85617
176,Rajawadi,400077,19.0809876,72.8836623
177,Rajbhavan,400035,18.9432046,72.7942989
178,Rajendra Nagar,400066,19.21085,72.91005
179,Ramwadi,400002,18.9441,72.82474
180,Ranade Road,400028,19.02083,72.84066
181,Rani Sati Marg,400097,19.18255,72.8767
182,Reay Road,400033,18.95355,72.8275
183,Rifle Range,400086,19.0913,72.91335
184,S R P F Camp,400060,19.1353,72.85
185,S Savarkar Marg,400028,19.02083,72.84066
186,S V Marg,400007,18.95635,72.81542
187,S. C. Court,400002,18.9441,72.82474
188,S.B. Road,400080,19.18226,72.9512
189,S.K. Nagar,400066,19.21085,72.91005
190,Sahakar Bhavan,400086,19.0774251,72.8440623
191,Sahargaon,400099,19.0176259,72.8561198
192,Sakinaka,400072,19.0881212,72.8907868
193,Santacruz Central,400054,19.08815,72.8367
194,Santacruz East,400055,19.0787,72.85
195,Santacruz West,400054,19.08815,72.8367
196,Secretariate,400032,18.9266455,72.8302971
197,Seepz,400096,19.1266574,72.8766554
198,Sewri,400015,19.0185,72.90361
199,Sharma Estate,400063,19.1542,72.8567
200,Shivaji Nagar,400043,19.2194767,72.828502
201,Shivaji Park,400028,19.02083,72.84066
202,Shroff Mahajan,400002,18.9441,72.82474
203,Sindhi Society,400071,19.04979,72.90005
204,Sion,400022,19.041458,72.8722209
205,Stock Exchange,400001,18.94206,72.83544
206,T.F.Donar,400088,19.0176259,72.8561198
207,Tagore Nagar,400083,19.11015,72.94595
208,Tajmahal,400001,18.9927791,72.8513793
209,Tank Road,400033,18.95355,72.8275
210,Tardeo,400007,18.9668925,72.8131372
211,Thakurdwar,400002,18.9498566,72.8227349
212,Tilak Nagar,400089,19.0598,72.9067
213,Town Hall,400001,18.94206,72.83544
214,Trombay,400088,19.0129332,72.9047066
215,Tulsiwadi,400034,18.9745408,72.8142421
216,Usha Nagar,400078,19.129,72.95306
217,V J B Udyan,400027,18.97875,72.83801
218,V K Bhavan,400010,18.9882,72.85482
219,V.P. Road,400052,19.07555,72.83206
220,V.W.T.C.,400005,18.8952,72.80879
221,Vakola,400055,19.0787,72.85
222,Vesava,400061,19.138446,72.812181
223,Vidyanagari,400098,19.0661,72.8667
224,Vihar Road,400072,19.14433,72.90004
225,Vikhroli,400079,19.104659,72.931774
226,Vileeparle East,400057,19.088212,72.857621
227,Vileparle Railway Station,400057,19.10075,72.85335
228,Vileparle West,400056,19.0976,72.84005
229,Wadala,400031,19.0151345,72.8580584
230,Wadala Rs,400031,19.00821,72.84415
231,Worli,400018,19.0166717,72.8166617
232,Worli Colony,400030,19.0166787,72.8166547
233,Worli Naka,400018,19.0166767,72.8166567
234,Worli Police Camp,400030,19.0166837,72.8166497
235,Worli Sea Face,400030,19.0166807,72.8166527
