,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Colaba,18.94959357,72.83815173,Shree Thaker Bhojnalay,18.951216985262224,72.82832591412115,Indian Restaurant
1,Colaba,18.94959357,72.83815173,Gulshan-E-Iran,18.948117926668065,72.83542708588257,Middle Eastern Restaurant
2,Colaba,18.94959357,72.83815173,Royal China,18.938715239156295,72.83293313173236,Chinese Restaurant
3,Colaba,18.94959357,72.83815173,Bhagat Tarachand Restaurant,18.951801999721898,72.83048598110027,Indian Restaurant
4,Colaba,18.94959357,72.83815173,Shalimar Restaurant,18.958180122249892,72.83236650763473,Indian Restaurant
5,Colaba,18.94959357,72.83815173,Britannia & Co.,18.934683361330222,72.8401828706296,Parsi Restaurant
6,Colaba,18.94959357,72.83815173,Food for Thought,18.932030548104755,72.83166719005116,Café
7,Colaba,18.94959357,72.83815173,Jaffer Bhai's Delhi Darbar,18.961417197216175,72.82337928586074,Indian Restaurant
8,Colaba,18.94959357,72.83815173,Mohd Ali Road,18.954751326725216,72.83319816783988,BBQ Joint
9,Colaba,18.94959357,72.83815173,Trishna,18.928618767483165,72.83235598103688,Seafood Restaurant
10,Colaba,18.94959357,72.83815173,Sher-E-Punjab,18.937943835353455,72.83785334602881,Indian Restaurant
11,Colaba,18.94959357,72.83815173,Yazdani Bakery,18.93319143074909,72.83359064269625,Bakery
12,Colaba,18.94959357,72.83815173,Sarvi,18.96685250452282,72.82922116407411,Middle Eastern Restaurant
13,Colaba,18.94959357,72.83815173,The Bayview - Hotel Marine Plaza,18.931876096865885,72.82303056777508,Italian Restaurant
14,Colaba,18.94959357,72.83815173,Pratap Lunch Home,18.933605218629197,72.83285417004964,Seafood Restaurant
15,Colaba,18.94959357,72.83815173,Palms - Catholic Gymkhana,18.94975999002401,72.82001852587977,Restaurant
16,Colaba,18.94959357,72.83815173,The Sassy Spoon,18.928425922468104,72.82251196171583,Diner
17,Colaba,18.94959357,72.83815173,Delhi Darbar,18.961580689107752,72.82352680100172,Indian Restaurant
18,Colaba,18.94959357,72.83815173,Pizza By The Bay,18.933515653026742,72.823924806057,Pizza Place
19,Colaba,18.94959357,72.83815173,Dark Temptations,18.94299933727028,72.82810953771249,Bakery
20,Colaba,18.94959357,72.83815173,Swati Snacks,18.96644170253803,72.81353124991814,Indian Restaurant
21,Colaba,18.94959357,72.83815173,The J,18.9303738249949,72.82673394356861,Fast Food Restaurant
22,Colaba,18.94959357,72.83815173,Vinay Health Home,18.95301089843378,72.82512881320312,Fast Food Restaurant
23,Colaba,18.94959357,72.83815173,H Parmesha Fast Food Corner,18.930392315607495,72.83354934229565,Fast Food Restaurant
24,Colaba,18.94959357,72.83815173,Kebab Korner,18.935090246815065,72.82402901317175,Indian Restaurant
25,Colaba,18.94959357,72.83815173,Mahesh Lunch Home,18.934120608422297,72.83382111973616,Indian Restaurant
26,Colaba,18.94959357,72.83815173,The Nutcracker,18.9285089238906,72.83368287546709,Breakfast Spot
27,Colaba,18.94959357,72.83815173,Chinese-n-Grill,18.954864340418663,72.83380395481826,Chinese Restaurant
28,Colaba,18.94959357,72.83815173,"The Oriental Blossom, Marine Plaza",18.93160511562937,72.82312062346041,Asian Restaurant
29,Colaba,18.94959357,72.83815173,Dakshin Bar And Kitchen,18.93648945230135,72.83748977150547,Seafood Restaurant
30,Colaba,18.94959357,72.83815173,Al Rehmani,18.961842975722288,72.8318178382764,Indian Restaurant
31,Colaba,18.94959357,72.83815173,Burma Burma,18.929590298584472,72.83204264290254,Asian Restaurant
32,Colaba,18.94959357,72.83815173,Café Mondegar,18.924219037574055,72.83210608191361,Café
33,Colaba,18.94959357,72.83815173,Golden Dragon,18.9284790979465,72.83249344629071,Chinese Restaurant
34,Colaba,18.94959357,72.83815173,Delhi Zaika,18.96184899547976,72.8311663573967,Restaurant
35,Colaba,18.94959357,72.83815173,PizzaExpress Colaba,18.923899084049445,72.83345215349688,Pizza Place
36,Colaba,18.94959357,72.83815173,Kala Ghoda Café,18.928515092036694,72.83235419845913,Café
37,Colaba,18.94959357,72.83815173,Badshah,18.947243551536065,72.833455829912,Fast Food Restaurant
38,Colaba,18.94959357,72.83815173,Joss,18.927955354996875,72.8318478536963,Japanese Restaurant
39,Colaba,18.94959357,72.83815173,"Long & Short, The GastroBar",18.935054048809455,72.82401389773644,Gastropub
40,Colaba,18.94959357,72.83815173,Umame,18.931966467648092,72.8282430677147,Japanese Restaurant
41,Colaba,18.94959357,72.83815173,Taste of Kerala,18.934205482667142,72.833215449282,Indian Restaurant
42,Colaba,18.94959357,72.83815173,Le15 Cafe,18.923805770003625,72.83265128731728,Café
43,Colaba,18.94959357,72.83815173,The Table,18.924099,72.833097,New American Restaurant
44,Colaba,18.94959357,72.83815173,Wasabi by Morimoto,18.922011858054795,72.83366279313577,Japanese Restaurant
45,Colaba,18.94959357,72.83815173,Leopold Café,18.922827901254987,72.83170853612214,Café
46,Colaba,18.94959357,72.83815173,Surti Hotel,18.952567249812088,72.82990537116653,Food
47,Colaba,18.94959357,72.83815173,145 Kala Ghoda,18.928088355756284,72.83184438252898,Café
48,Colaba,18.94959357,72.83815173,The Malabar Hill Club,18.954392250210518,72.8035103932751,Restaurant
49,Colaba,18.94959357,72.83815173,New Martin,18.91862420333764,72.82951216623856,Indian Restaurant
50,Colaba,18.94959357,72.83815173,India Jones,18.927878457481018,72.82066393146417,Restaurant
51,Colaba,18.94959357,72.83815173,Café at the NCPA,18.92525684284292,72.81957843982663,Café
52,Colaba,18.94959357,72.83815173,Crystal,18.955930610388766,72.8120951495242,Indian Restaurant
53,Colaba,18.94959357,72.83815173,Piccadilly,18.921425293487804,72.83093565394984,Falafel Restaurant
54,Colaba,18.94959357,72.83815173,Haji Tikka,18.960212639536078,72.83069898958891,BBQ Joint
55,Colaba,18.94959357,72.83815173,Café Basilico,18.91860901934294,72.83048426934867,Diner
56,Colaba,18.94959357,72.83815173,Theobroma,18.970734914004037,72.80981586266414,Bakery
57,Colaba,18.94959357,72.83815173,Cream Centre,18.955504728100184,72.81318601567378,Mexican Restaurant
58,Colaba,18.94959357,72.83815173,Swati Snacks,18.92443615043811,72.82475613548655,Chaat Place
59,Colaba,18.94959357,72.83815173,The Pantry,18.928774696503215,72.83225647688218,Deli / Bodega
60,Colaba,18.94959357,72.83815173,Soam,18.957492031614574,72.80888354503129,Indian Restaurant
61,Colaba,18.94959357,72.83815173,Khyber Restaurant,18.928133650077747,72.83154069845135,Indian Restaurant
62,Colaba,18.94959357,72.83815173,Sukhsagar,18.956065697702584,72.8134137609859,Snack Place
63,Colaba,18.94959357,72.83815173,Souk,18.922433917282156,72.83393382078587,Mediterranean Restaurant
64,Colaba,18.94959357,72.83815173,Thai Pavilion,18.914246393461482,72.82108040339331,Thai Restaurant
65,Colaba,18.94959357,72.83815173,Sahakari Bhandar Restaurant,18.924767018432732,72.83195134644758,Indian Restaurant
66,Colaba,18.94959357,72.83815173,Indigo Delicatessen,18.92394621260998,72.83334800763832,Breakfast Spot
67,Colaba,18.94959357,72.83815173,Pa Pa Ya (Colaba),18.921456,72.832337,Asian Restaurant
68,Colaba,18.94959357,72.83815173,symphony,18.963346739565118,72.81025132774622,Restaurant
69,Colaba,18.94959357,72.83815173,Fenix Oberoi,18.927143611688816,72.82014258477373,Restaurant
70,Colaba,18.94959357,72.83815173,Status,18.924562,72.821526,Indian Restaurant
71,Colaba,18.94959357,72.83815173,HQ (Headquarters),18.925159164472962,72.83203644554656,Café
